         x	         y	         z
 -1.836181	  2.752999	  0.162571
 -1.836780	  2.754733	  0.162568
 -1.837372	  2.756474	  0.162561
 -1.837889	  2.758197	  0.162586
 -1.838465	  2.759821	  0.162559
 -1.838968	  2.761345	  0.162566
 -1.839396	  2.762758	  0.162560
 -1.839855	  2.764064	  0.162541
 -1.840279	  2.765323	  0.162542
 -1.840638	  2.766586	  0.162553
 -1.841092	  2.767866	  0.162540
 -1.841478	  2.769201	  0.162556
 -1.841912	  2.770564	  0.162540
 -1.842339	  2.771945	  0.162541
 -1.842766	  2.773335	  0.162536
 -1.843162	  2.774667	  0.162529
 -1.843548	  2.775919	  0.162528
 -1.843915	  2.777088	  0.162520
 -1.844243	  2.778195	  0.162524
 -1.844555	  2.779245	  0.162519
 -1.844837	  2.780266	  0.162524
 -1.845140	  2.781227	  0.162523
 -1.845411	  2.782177	  0.162524
 -1.845673	  2.783088	  0.162520
 -1.845913	  2.783970	  0.162518
 -1.846165	  2.784801	  0.162517
 -1.846405	  2.785614	  0.162502
 -1.846636	  2.786408	  0.162502
 -1.846861	  2.787185	  0.162491
 -1.847062	  2.787936	  0.162494
 -1.847274	  2.788654	  0.162494
 -1.847471	  2.789354	  0.162495
 -1.847657	  2.790025	  0.162494
 -1.847838	  2.790652	  0.162491
 -1.847996	  2.791250	  0.162490
 -1.848154	  2.791793	  0.162485
 -1.848311	  2.792306	  0.162485
 -1.848449	  2.792799	  0.162484
 -1.848582	  2.793290	  0.162486
 -1.848704	  2.793768	  0.162488
 -1.848824	  2.794222	  0.162488
 -1.848940	  2.794649	  0.162491
 -1.849044	  2.795031	  0.162490
 -1.849147	  2.795374	  0.162491
 -1.849236	  2.795690	  0.162487
 -1.849319	  2.795986	  0.162486
 -1.849398	  2.796267	  0.162485
 -1.849474	  2.796541	  0.162489
 -1.849540	  2.796813	  0.162491
 -1.849600	  2.797078	  0.162494
 -1.849660	  2.797326	  0.162497
 -1.849727	  2.797556	  0.162497
 -1.849792	  2.797764	  0.162492
 -1.849847	  2.797959	  0.162491
 -1.849891	  2.798137	  0.162488
 -1.849932	  2.798307	  0.162490
 -1.849973	  2.798467	  0.162488
 -1.850018	  2.798622	  0.162494
 -1.850056	  2.798778	  0.162492
 -1.850093	  2.798923	  0.162495
 -1.850128	  2.799059	  0.162494
 -1.850169	  2.799175	  0.162490
 -1.850205	  2.799281	  0.162485
 -1.850235	  2.799372	  0.162485
 -1.850251	  2.799463	  0.162486
 -1.850270	  2.799543	  0.162489
 -1.850292	  2.799616	  0.162490
 -1.850315	  2.799693	  0.162493
 -1.850338	  2.799777	  0.162490
 -1.850351	  2.799853	  0.162492
 -1.850377	  2.799943	  0.162484
 -1.850395	  2.800001	  0.162488
 -1.850425	  2.800085	  0.162481
 -1.850432	  2.800134	  0.162487
 -1.850449	  2.800208	  0.162484
 -1.850453	  2.800254	  0.162491
 -1.850469	  2.800304	  0.162490
 -1.850486	  2.800342	  0.162489
 -1.850497	  2.800383	  0.162487
 -1.850499	  2.800414	  0.162487
 -1.850512	  2.800452	  0.162486
 -1.850519	  2.800475	  0.162484
 -1.850526	  2.800494	  0.162485
 -1.850530	  2.800521	  0.162487
 -1.850534	  2.800546	  0.162484
 -1.850535	  2.800567	  0.162489
 -1.850546	  2.800586	  0.162487
 -1.850553	  2.800609	  0.162483
 -1.850565	  2.800635	  0.162481
 -1.850562	  2.800638	  0.162480
 -1.850564	  2.800673	  0.162486
 -1.850572	  2.800677	  0.162480
 -1.850581	  2.800700	  0.162481
 -1.850579	  2.800705	  0.162482
 -1.850590	  2.800735	  0.162484
 -1.850576	  2.800739	  0.162480
 -1.850597	  2.800745	  0.162473
 -1.850594	  2.800755	  0.162478
 -1.850602	  2.800766	  0.162471
 -1.850599	  2.800779	  0.162470
 -1.850600	  2.800790	  0.162476
 -1.850609	  2.800801	  0.162478
