,qw,qx,qy,qz,x,y,z,ut,k,dcm_0,dcm_1,dcm_2,dcm_3,dcm_4,dcm_5,dcm_6,dcm_7,dcm_8,ro,pi,ya
J021,0.6824386650154229,-0.181405698654666,-0.18212215189557085,0.6842521170099036,0.07088906374044804,-0.9106277542344366,0.1974796005438853,1559059512.4627647,31360.5,-0.002738879066093291,-0.8678442089692117,-0.4968288630368236,0.9999961920440893,-0.0022179772587089834,-0.001638410129744949,0.0003199298435217139,-0.49683146155440205,0.8678469863650204,-0.5199439411889925,-0.0003199298496462552,1.5735352094415755
J022,0.7062632251218686,0.0015484557508584538,8.437799819162293e-05,0.7079476332818183,-0.49934310834473195,-0.7695818588330618,0.20831918698754254,1559059529.4861577,33488.5,-0.002379717867208458,-0.9999944959722691,0.002311637301589653,0.9999950184521101,-0.002384498751557132,-0.0020677643131486547,0.002073264997119707,0.0023067051338713364,0.9999951896293977,0.0023067121381089733,-0.002073266483292111,1.573176052024546
J023,0.7062763203815966,0.0010362733495717228,-0.0012074105427015852,0.7079344793750644,-0.9105262779282797,-0.1120936833594201,0.20829997807937242,1559059539.8136742,34779.5,-0.002345370331809968,-0.9999972204004046,-0.00023830367616808432,0.9999922158840157,-0.0023446023798485444,-0.003173325764331572,0.0031727582186135504,-0.00024574445725743997,0.9999949360123368,-0.00024574569674997647,-0.00317276354210421,1.5731417110829933
J024,0.6395997339321611,0.3001026474993312,-0.29950273764342783,0.6412087732849743,-0.9103464872731739,-0.1753567050328299,0.17854846220163015,1559059549.861216,36035.5,-0.0017011620987107418,-0.999997050199141,0.00173315830831325,0.6404707925538853,-0.002420580478738128,-0.7679787131160138,0.7679806432990609,-0.00019641902346872618,0.6404730216194703,-0.00030667801979906913,-0.8756822495875631,1.5734524324564851
J025,0.6739109061130387,-0.2119362977460902,0.21116835299818298,0.6755257378643287,-0.9106500687082061,-0.06468988305592642,0.19342532058075254,1559059560.620915,37380.5,-0.0018541921343387469,-0.9999968017174434,-0.0017195356095081786,0.8209798463237212,-0.0025040341399618304,0.5709516799370465,-0.5709541598934965,-0.0003530499517079199,0.8209818641994002,-0.00043003378706269645,0.6076676041335544,1.5730548341050337
J026,0.6732135492171312,0.2135356642087514,0.2116175689943901,0.6755768203614753,-0.8459916427797805,-0.11211041300370017,0.24781726931579573,1559059582.440011,40108.0,-0.0023720725662100166,-0.8192391413160163,0.5734471189772944,0.9999907341413266,-0.004003042231850232,-0.001582355968084278,0.003591860451389512,0.573438053315455,0.819241046926834,0.6107008305769904,-0.00359186817811436,1.5731684168898519
J027,0.6739541606424092,-0.21149556863745633,-0.21374153130471207,0.6748110631359143,-0.9407159219819445,-0.11190667821256498,0.13902860053062935,1559059611.430838,43732.0,-0.002110826906883399,-0.8191726734658977,-0.5735430874512942,0.9999942207927185,-0.00020069365173935446,-0.0033936630899702347,0.002664889603310874,-0.5735469366423013,0.8191683636248402,-0.6108317129455603,-0.0026648927579861204,1.5729071627654805
J028,0.7062177689635748,-0.00033988674110580543,-0.001513985480519768,0.7079929763882693,-0.6712216153744588,0.6253941904234678,0.20812471075161854,1559059628.0581338,45810.5,-0.002512693868861155,-0.9999934111345348,-0.0026196817484691283,0.9999954693983093,-0.002508340960635922,-0.001663714071704786,0.001657132034928147,-0.0026238502837055075,0.9999951840044267,-0.0026238568981979135,-0.0016571327939613855,1.5733090267596943
J029,0.7062957195330218,-0.0011084152601521981,-0.0009976383597874467,0.7079153327840308,-0.11203687535610553,0.9105225706882908,0.20827651552776064,1559059638.061737,47061.0,-0.0022902414202109283,-0.9999929132323825,-0.0029785836797969604,0.9999973635768858,-0.002290708499202409,0.00015325111303718142,-0.00016007271985353792,-0.0029782248503759504,0.999995524182286,-0.002978229375090302,0.00016007272061204105,1.5730865702488854
J030,0.6824669279395469,0.18165919449957238,0.1822346862838146,0.6841267026051524,-0.07075374506164259,0.9106217597042454,0.19738729845759592,1559059653.173099,48950.0,-0.0024776558785133624,-0.8675784855719577,0.4972941045411692,0.9999969102448314,-0.002058819028691554,0.001390445242067538,-0.00018248131176724,0.49729601344727764,0.8675809066354131,0.5204792979965355,0.00018248131341300932,1.5732739852588369
J031,0.6818720970613368,-0.18409279218724023,-0.1842029275834402,0.683541925214261,-0.1534296541079638,0.9104345039895573,0.1969721315184424,1559059676.9081714,51917.0,-0.0023205688361458356,-0.8643554701978058,-0.5028759567393475,0.9999971931560127,-0.0022394446594494193,-0.0007653711567684723,-0.00046461016029629855,-0.502876321623863,0.8643582416055616,-0.5269233307990855,0.00046461017968793213,1.573116897979123
J032,0.6409522744386611,-0.2999220802756057,0.4989270204477848,0.500298666202692,-0.08347742333828763,0.9210812054274601,0.06317564343805644,1559059695.223383,54206.5,0.0015461451890803905,-0.9406135957634405,0.33947558366242636,0.3420566761248915,0.3194959800513626,0.8836965244244422,-0.9396780503644716,0.1147535666597906,0.3222371474940551,0.34211229329458825,1.221687879301866,1.5662762135935728
